[0.181s] Invoking command in '/home/marco/ros2_ws/build/urdf_tutorial': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/marco/ros2_ws/build/urdf_tutorial -- -j16 -l16
[0.203s] Invoked command in '/home/marco/ros2_ws/build/urdf_tutorial' returned '0': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/marco/ros2_ws/build/urdf_tutorial -- -j16 -l16
[0.209s] Invoking command in '/home/marco/ros2_ws/build/urdf_tutorial': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/marco/ros2_ws/build/urdf_tutorial
[0.213s] -- Install configuration: ""
[0.214s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/meshes/l_finger_tip.dae
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/meshes/l_finger_tip_color.png
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/rviz/urdf.rviz
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/01-myfirst.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/02-multipleshapes.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/03-origins.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/04-materials.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/05-visual.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/06-flexible.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/07-physics.urdf
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/urdf/08-macroed.urdf.xacro
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/ament_index/resource_index/package_run_dependencies/urdf_tutorial
[0.215s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/ament_index/resource_index/parent_prefix_path/urdf_tutorial
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/environment/ament_prefix_path.sh
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/environment/ament_prefix_path.dsv
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/environment/path.sh
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/environment/path.dsv
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/local_setup.bash
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/local_setup.sh
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/local_setup.zsh
[0.216s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/local_setup.dsv
[0.216s] -- Symlinking: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/package.dsv
[0.221s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/ament_index/resource_index/packages/urdf_tutorial
[0.221s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/cmake/urdf_tutorialConfig.cmake
[0.221s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/cmake/urdf_tutorialConfig-version.cmake
[0.221s] -- Up-to-date symlink: /home/marco/ros2_ws/install/urdf_tutorial/share/urdf_tutorial/package.xml
[0.223s] Invoked command in '/home/marco/ros2_ws/build/urdf_tutorial' returned '0': CMAKE_PREFIX_PATH=/opt/ros/jazzy:${CMAKE_PREFIX_PATH} DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/marco/ros2_ws/build/urdf_tutorial
